,index,isbn,book_title,book_author,year_of_publication,publisher,img_l,Summary,Category,Borrowed
2925,2925,0140250948,In the Lake of the Woods,Tim O'Brien,1995,Penguin Books,http://images.amazon.com/images/P/0140250948.01.LZZZZZZZ.jpg,"John and Kathy Wade, whose marriage has been built on mutual
deception, visit a Minnesota lake to try to sort things out, a
difficult process made more so by Kathy&#39;s sudden disappearence",Fiction,43
2926,2926,0312265611,Bloodroot,Aaron Roy Even,2000,Thomas Dunne Books,http://images.amazon.com/images/P/0312265611.01.LZZZZZZZ.jpg,"The novel&#39;s title is taken from the flower. Native to Virginia,
its tie to the land is such that its roots bleed red when cut.
Bloodroot marks the powerful debut of a gifted writer.",Fiction,26
2927,2927,0312971540,Monsoon (A Courtney Family Adventure),Wilbur Smith,2000,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312971540.01.LZZZZZZZ.jpg,"The three sons of Hal Courteney--Tom, Dorian, and Guy--leave England
to seek their fortunes amid the unexplored wilderness of eighteenth-
century Africa.",Fiction,22
2928,2928,0345310020,Chronicle of a Death Foretold,GABRIEL GARCIA MARQUEZ,1984,Ballantine Books,http://images.amazon.com/images/P/0345310020.01.LZZZZZZZ.jpg,"The Nobel laureate weaves a story of a fantastic wedding, the return
of the bride to her parents, her brothers&#39; resolve to murder her
corruptor, and the townspeoples&#39; refusal to depart from routine",Fiction,36
2929,2929,0345312015,Hooligans,WILLIAM DIEHL,1985,Ballantine Books,http://images.amazon.com/images/P/0345312015.01.LZZZZZZZ.jpg,"Special federal investigator Jake Kilmer, along with the special task
force known as the Hooligans, returns to his southern hometown--
Dunetown--to investigate a series of brutal murders and Mafia
corruption",Fiction,22
2930,2930,0345340418,Death in a Tenured Position (Kate Fansler Novels (Paperback)),Amanda Cross,1995,Fawcett Books,http://images.amazon.com/images/P/0345340418.01.LZZZZZZZ.jpg,"When Janet Mandelbaum is made the first woman professor at
Harvard&#39;s English Department, the men are not happy.",Fiction,31
2931,2931,0345345053,A Sand County Almanac (Outdoor Essays & Reflections),Aldo Leopold,1990,Ballantine Books,http://images.amazon.com/images/P/0345345053.01.LZZZZZZZ.jpg,"A classic collection, A Sand County Almanac is a stunning tribute to
our land and a bold challenge to protect the world we love.",Nature,23
2932,2932,0345381645,The Vanished Child,Sarah Smith,1995,Fawcett Books,http://images.amazon.com/images/P/0345381645.01.LZZZZZZZ.jpg,"Into the lives of the Knight family--a wealthy New England clan living
in the early years of the twentieth century--comes a mysterious
stranger, who is determined to unearth the truth behind the
disappearance and presumed death of Richard ...",Fiction,24
2933,2933,0345397819,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1995,Ballantine Books,http://images.amazon.com/images/P/0345397819.01.LZZZZZZZ.jpg,"Rowan Mayfair, queen of a coven of witches, flees the compelling,
irresistible Lasher, the demon father of her child",Fiction,96
2934,2934,0345428285,The Insider,STEPHEN FREY,2000,Ballantine Books,http://images.amazon.com/images/P/0345428285.01.LZZZZZZZ.jpg,"When a co-worker on his new job is murdered, former banker-turned-
investment firm associate Jay West finds himself enmeshed in a
complicated conspiracy that could end his career, and his life, if he
is not careful. Reprint.",Fiction,29
2935,2935,0373244487,Cordina's Crown Jewel,Nora Roberts,2002,Silhouette,http://images.amazon.com/images/P/0373244487.01.LZZZZZZZ.jpg,"Cordina&#39;s Crown Jewel by Nora Roberts released on Jan 25, 2002 is
available now for purchase.",Fiction,91
2936,2936,0380017962,Dona Flor and Her Two Husbands,Jorge Amado,1977,Avon,http://images.amazon.com/images/P/0380017962.01.LZZZZZZZ.jpg,"Memories of her first husband threaten Dona Flora&#39;s very
respectable marriage",Fiction,21
2937,2937,038072121X,In the Electric Mist with Confederate Dead,James L. Burke,1994,Avon,http://images.amazon.com/images/P/038072121X.01.LZZZZZZZ.jpg,"On the trail of a serial killer, detective Dave Robicheaux, assisted
by an actor claiming to be a psychic, finds himself among ghosts of
the Civil War, who have been awakened by a movie crew filming in the
bayou. Reissue.",Fiction,25
2938,2938,0380759500,Firefly,Piers Anthony,1992,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380759500.01.LZZZZZZZ.jpg,"The inhabitants of a remote estate in Florida&#39;s savannah country
fall under the spell of a horrible predator who inflames and perverts
their sexual desires, leading to a series of bizarre and deadly
encounters",Fiction,26
2939,2939,0380788756,Baltimore Blues (Tess Monaghan Mysteries (Paperback)),Laura Lippman,1997,Avon,http://images.amazon.com/images/P/0380788756.01.LZZZZZZZ.jpg,"Until her paper, the Baltimore Star, crashed and burned, Tess Monaghan
was a damn good reporter who knew her hometown intimately -- from
historic Fort McHenry to the crumbling projects of Cherry Hill.",Fiction,25
2940,2940,038531700X,The Loop: A Novel,Nicholas Evans,1998,Delacorte Press,http://images.amazon.com/images/P/038531700X.01.LZZZZZZZ.jpg,"A pack of savage wolves returns to the ranching town of Hope, Montana
where a century ago they were slaughtered by the thousands, now
shielded by law as an endangered species, and Helen Ross, a wolf
biologist, is sent alone into the hostile ...",Fiction,59
2941,2941,0394565614,Caribbean,James A. Michener,1989,Random House Inc,http://images.amazon.com/images/P/0394565614.01.LZZZZZZZ.jpg,"A fictional account of the history of the Caribbean area includes the
racial, political, and economic struggles from the arrival of Columbus
and Spanish control to present day problems.",Fiction,63
2942,2942,0399141464,Cause of Death,Patricia Daniels Cornwell,1996,Putnam Pub Group,http://images.amazon.com/images/P/0399141464.01.LZZZZZZZ.jpg,"The mysterious death of diver Ted Eddings, an investigative reporter,
and the murder of a morgue assistant driving her car lead medical
examiner Kay Scarpetta, her niece, and police captain Pete Marino on
the trail of a deadly supremacist ...",Fiction,75
2943,2943,0399142983,Singing in the Comeback Choir,Bebe Moore Campbell,1998,Putnam Pub Group,http://images.amazon.com/images/P/0399142983.01.LZZZZZZZ.jpg,A successful producer tries to revitalize the ghetto of her youth.,Fiction,31
2944,2944,0399148779,Eleventh Hour: An FBI Thriller,Catherine Coulter,2002,Putnam Publishing Group,http://images.amazon.com/images/P/0399148779.01.LZZZZZZZ.jpg,"Husband-and-wife agents Lacey Sherlock and Dillon Savich investigate
the murder of FBI agent Dane Carver&#39;s twin brother, Father Michael
Joseph, and seek the assistance of homeless woman Nicola Jones, a
witness to the shooting who is ...",Fiction,38
2945,2945,0425100057,The Eighth Commandment,Lawrence Sanders,1994,Berkley Publishing Group,http://images.amazon.com/images/P/0425100057.01.LZZZZZZZ.jpg,"When the Demaretion, the prized Greek Greek coin from Archibald
Havistock&#39;s collection, disappears, and appraiser Mary Lou
&quot;Dunk&quot; Bateson comes under suspicion, Bateson, a cop and an
insurance investigator set out to solve the crime",Fiction,27
2946,2946,042510429X,The Third Deadly Sin,Lawrence Sanders,2001,Berkley Publishing Group,http://images.amazon.com/images/P/042510429X.01.LZZZZZZZ.jpg,"The author who forged the serial killer genre with The First Deadly
Sin follows the chilling career of a murderer stalking in New York
City&#39;s hotels and the quest of a retired policeman to stop him.
Reissue.",Fiction,21
2947,2947,0425110427,Team Yankee: A Novel of World War III,Harold Coyle,1994,Berkley Publishing Group,http://images.amazon.com/images/P/0425110427.01.LZZZZZZZ.jpg,"A realistic depiction of World War III combat follows Captain Sean
Bannion and the tank soldiers of Team Yankee as they battle the
Russian invasion force, from Hill 214 in West Germany to the ultimate
cease-fire. Reissue.",Fiction,22
2948,2948,0425160394,Vengeance in Death,J. D. Robb,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425160394.01.LZZZZZZZ.jpg,"A madman brutally murders two men--both with ties to an ugly secret
shared by Eve&#39;s new husband, Roarke.",Fiction,32
2949,2949,042517140X,Loyalty in Death,J. D. Robb,2004,Berkley Publishing Group,http://images.amazon.com/images/P/042517140X.01.LZZZZZZZ.jpg,"New York detective Eve Dallas searches for the bomber who threatens to
make his destruction personal",Fiction,41
2950,2950,042518904X,Widow's Walk,Robert B. Parker,2003,Berkley Publishing Group,http://images.amazon.com/images/P/042518904X.01.LZZZZZZZ.jpg,"When Nathan Smith, a prominent local banker and millionaire, is
murdered, Spenser is called in to investigate Nathan&#39;s young wife,
Mary, and as the evidence stacks up against her, Spenser discovers
that Mary&#39;s mysterious past has put his ...",Fiction,39
2951,2951,0440216818,Daybreak,Belva Plain,1995,Dell Publishing Company,http://images.amazon.com/images/P/0440216818.01.LZZZZZZZ.jpg,"Explosive emotions test the survival of Margaret and Arthur Crawfield,
who learn that their dying son is not their biological child, and
Laura and Bud Rice, whose life of southern elegance has been their
mainstay. Reprint.",Fiction,37
2952,2952,0440219248,Whatever Happened to Janie?,Caroline B. Cooney,1994,Laure Leaf,http://images.amazon.com/images/P/0440219248.01.LZZZZZZZ.jpg,"Suffering an identity crisis after reuniting with her biological
family, Janie realizes that the past twelve years cannot be brought
back, and is torn between the Spring family&#39;s desire for justice
and her love for the Johnsons.",Juvenile Fiction,26
2953,2953,0440224047,Purple Cane Road,James Lee Burke,2001,Dell Publishing Company,http://images.amazon.com/images/P/0440224047.01.LZZZZZZZ.jpg,"Haunted by the mother he never knew, Dave Robicheaux is stunned when a
chance meeting reveals that his mother was murdered by a New Orleans
police officer, a discovery that has him searching for the killer.",Fiction,30
2954,2954,0446313033,A Shroud for a Nightingale,P. D. James,1992,Warner Books,http://images.amazon.com/images/P/0446313033.01.LZZZZZZZ.jpg,"The mysterious and tragic deaths of two student nurses send Adam
Dalgliesh, Chief Superintendent of Scotland Yard to hunt the vicious
killer seeking refuge in the Nightingale House",Fiction,23
2955,2955,0446350982,Presumed Innocent,Scott Turow,1988,Warner Books,http://images.amazon.com/images/P/0446350982.01.LZZZZZZZ.jpg,"Rusty Sabich, a prosecuting attorney investigating the murder of
Carolyn Polhemus, his former lover and a prominent member of his
boss&#39;s staff, finds himself accused of the crime",Fiction,101
2956,2956,0446611751,The Nine Month Plan,Wendy Markham,2003,Warner Books,http://images.amazon.com/images/P/0446611751.01.LZZZZZZZ.jpg,Nina Chickalini has a plan: Get out of Queens.,Fiction,24
2957,2957,0449210928,Texas,James A. Michener,1994,Fawcett Books,http://images.amazon.com/images/P/0449210928.01.LZZZZZZZ.jpg,"Presents a saga spanning four and a half centuries, from the first
Spanish exploration of Texas to its emergence as one of the most
powerful states, with a cast of more than two hundred real-life and
fictional characters",Fiction,35
2958,2958,0449211479,The Source,James A. Michener,1992,Fawcett Books,http://images.amazon.com/images/P/0449211479.01.LZZZZZZZ.jpg,"An archeological excavation of Tell Makor initiates a journey into the
ancient history and culture of Israel that explores the life of the
early Hebrews, the impact of Christianity, the Spanish inquisition,
and the modern Middle East ...",Fiction,37
2959,2959,0449211584,Chesapeake,James A. Michener,1990,Fawcett Books,http://images.amazon.com/images/P/0449211584.01.LZZZZZZZ.jpg,"A panoramic narrative of human and animal life on Maryland&#39;s
Eastern Shore focuses on a ten-square-mile area at the mouth of the
Choptank River and the families that settle there, from 1583 to the
present",Fiction,39
2960,2960,0449217124,Thornyhold,Mary Stewart,1989,Fawcett Books,http://images.amazon.com/images/P/0449217124.01.LZZZZZZZ.jpg,"When Gilly Ramsey, whose childhood has been one of lonely isolation,
inherits an English country home steeped in magic, she discovers an
intriguing, mysterious world, and a man who teaches her to love",Fiction,33
2961,2961,0449219615,Farriers' Lane,Anne Perry,1994,Fawcett Books,http://images.amazon.com/images/P/0449219615.01.LZZZZZZZ.jpg,"Investigating the poisoning death of a distinguished judge, Inspector
Pitt finds himself haunted by a grisly murder committed in desolate
Farrier&#39;s Lane five years before",Fiction,31
2962,2962,0449910261,Dave Barry's Complete Guide to Guys,DAVE BARRY,1996,Ballantine Books,http://images.amazon.com/images/P/0449910261.01.LZZZZZZZ.jpg,"A guide to understanding the male animal covers such important guy
issues as scratching, golf, the role of guys in world history, and
important scientific reasons why guys act like jerks Why guys cannot
simultaneously think and look at ...",Humor,29
2963,2963,0451133129,Growing Up,Russell Baker,1984,Penguin Putnam~mass,http://images.amazon.com/images/P/0451133129.01.LZZZZZZZ.jpg,"The Pulitzer Prize-winning journalist recalls his youth in the
impoverished mountain region of Virginia, New Jersey suburbia, and
Depression-shadowed Baltimore and details his mother&#39;s struggle to
educate and make something of her family",Biography Autobiography,37
2964,2964,0451166876,Lust Killer (Signet True Crime S.),Ann Rule,1995,Signet Book,http://images.amazon.com/images/P/0451166876.01.LZZZZZZZ.jpg,"Police detective Lieutenant John Stovall embarks on a relentless
search for the killer responsible for the mysterious disappearances
and murders of a series of pretty young women in the Northwest.",True Crime,21
2965,2965,0451197011,American Dreams,John Jakes,1999,Signet Book,http://images.amazon.com/images/P/0451197011.01.LZZZZZZZ.jpg,"Follows the historical saga of the Crown family, German immigrants who
settle in Chicago, as they participate in the events of the early
twentieth century",Fiction,27
2966,2966,0451199685,False Pretenses,Catherine Coulter,2004,Signet Book,http://images.amazon.com/images/P/0451199685.01.LZZZZZZZ.jpg,"It came out the following May in paperback. We&#39;ve given it a
stylishly menacing new cover, and I&#39;m happy to say that the novel
didn&#39;t need any rewriting, just some updating.",Fiction,63
2967,2967,0451202317,Beyond Eden,Catherine Coulter,2000,Signet Book,http://images.amazon.com/images/P/0451202317.01.LZZZZZZZ.jpg,"When sophisticated, wealthy Sydney Fox marries the suave, jet-setting
Prince Alessandro Di Contini, everything seems perfect, until the
Prince rapes his wife&#39;s sister, Lindsay Fox, a crime that triggers
a deadly chain of events.",Fiction,79
2968,2968,0486270629,A Doll's House,Henrik Ibsen,1992,Dover Publications,http://images.amazon.com/images/P/0486270629.01.LZZZZZZZ.jpg,"Here is a deeply absorbing play as readable as it is eminently
playable, reprinted from an authoritative translation. A selection of
the Common Core State Standards Initiative.",Social Science,22
2969,2969,0515120871,Finding the Dream,Nora Roberts,1997,Jove Books,http://images.amazon.com/images/P/0515120871.01.LZZZZZZZ.jpg,"The daughter of a wealthy hotelier, Laura Templeton had always known
comfort and privilege. But when her storybook marriage ends, she is
determined to rebuild her life without the Templeton fortune and
discover who she really is.",Fiction,63
2970,2970,0515129232,Second Wind,Dick Francis,2000,Jove Books,http://images.amazon.com/images/P/0515129232.01.LZZZZZZZ.jpg,"A hurricane-chasing trip to the Caribbean spells danger for English
meteorologist Perry Stuart as a terrifying accident during his holiday
excursion reveals deadly secrets that could get him killed.",Fiction,55
2971,2971,0553109588,More Letters from a Nut,Ted L. Nancy,1998,Bantam,http://images.amazon.com/images/P/0553109588.01.LZZZZZZZ.jpg,"Presents a second collection of mischievous letters to corporations,
magazines, and celebrities, and their responses",Humor,23
2972,2972,0553293915,Kat's Cradle (Kat Colorado Mysteries),Karen Kijewski,1992,Bantam,http://images.amazon.com/images/P/0553293915.01.LZZZZZZZ.jpg,"Hired by twenty-one-year-old &quot;orphan&quot; Paige Morrell to
unravel the mystery of her past, Sacramento private eye Kat Colorado
finds herself following a trail of lies, greed, and deceit. Reprint.",Fiction,20
2973,2973,0553294083,A Whisper of Roses,Teresa Medeiros,1993,Bantam Books,http://images.amazon.com/images/P/0553294083.01.LZZZZZZZ.jpg,"Original. From the enchanting pen of the bestselling Teresa Medeiros
comes a tantalizing romance of love and treachery that sweeps from an
ancient castle steeped in splendor to crumbling Scottish fortress
poised high above the moors.",Fiction,21
2974,2974,0553298178,Garden of Rama,Arthur C. Clarke,1992,Bantam,http://images.amazon.com/images/P/0553298178.01.LZZZZZZZ.jpg,"After twelve years trapped aboard a labyrinthine Raman vessel, three
human cosmonauts learn their true destination and face a rendezvous
with a Raman base. Reprint.",Fiction,34
2975,2975,0553347756,Wild Mind: Living the Writer's Life,Natalie Goldberg,1990,Bantam,http://images.amazon.com/images/P/0553347756.01.LZZZZZZZ.jpg,"A collection of essays on life as a writer urges aspirants to the
craft to take chances, learn self-acceptance, and make a daily
commitment to writing",Language Arts Disciplines,23
2976,2976,0553573705,Almost Innocent,Jane Feather,2001,Bantam Books,http://images.amazon.com/images/P/0553573705.01.LZZZZZZZ.jpg,"The illegitimate daughter of a powerful English prince and his
murdered French mistress, Magdalen, an unwitting pawn in the
continuing battle between England and France, is delighted to escape
her boring, protected existence with the help ...",Fiction,35
2977,2977,0553574574,Beach Music,Pat Conroy,1996,Bantam Books,http://images.amazon.com/images/P/0553574574.01.LZZZZZZZ.jpg,"The best-selling author of The Prince of Tides presents a lyrical,
multi-generational saga featuring an American expatriate in Rome, who
searches for a secret buried deep in his family&#39;s past. Reprint.",Fiction,155
2978,2978,0553576232,Shadows and Lace,Teresa Medeiros,1996,Fanfare,http://images.amazon.com/images/P/0553576232.01.LZZZZZZZ.jpg,"Lost to Sir Gareth of Caerleon in a game of dice, Rowena becomes his
servant and manages to charm him with her spirit and beauty, but
rumors of his murderous nature make her eager to find the truth before
she volunteers her heart",Fiction,20
2979,2979,0553581929,Special Circumstances,SHELDON SIEGEL,2001,Bantam,http://images.amazon.com/images/P/0553581929.01.LZZZZZZZ.jpg,"Filled with sardonic humor and courtroom drama, this exciting novel
exposes the ins and outs of big law firms, as it follows ex-priest-
turned-attorney Mike Daley who is asked to defend one of his former
colleagues at a prestigious San ...",Fiction,43
2980,2980,0670030031,Lake Wobegon: Summer 1956,Garrison Keillor,2001,Viking Books,http://images.amazon.com/images/P/0670030031.01.LZZZZZZZ.jpg,"During the summer of 1956, fourteen-year-old geek Gary struggles with
the hormonal pains and obsessions of puberty as he experiences a
passionate devotion to his rebellious cousin Kate and pursues his
dream of becoming a writer, but when ...",Fiction,24
2981,2981,0671010123,Final Jeopardy (Alexandra Cooper Mysteries (Paperback)),Linda Fairstein,1997,Pocket,http://images.amazon.com/images/P/0671010123.01.LZZZZZZZ.jpg,"In an investigation that twists from the back alleys of lower
Manhattan to the chic salons of the Upper East Side. Alex knows
she&#39;sin final jeopardy...and time is running out.",Fiction,37
2982,2982,0671019554,Cold Hit (Alexandra Cooper Mysteries (Paperback)),Linda Fairstein,2000,Pocket,http://images.amazon.com/images/P/0671019554.01.LZZZZZZZ.jpg,"While investigating the mysterious death of a wealthy art collector,
Assistant District Attorney Alexandra Cooper goes behind the scenes of
Manhattan&#39;s art galleries and auction houses, where she soon
becomes a target for murder.",Fiction,33
2983,2983,0671523090,Flash,Jayne Ann Krentz,1999,Pocket Star,http://images.amazon.com/images/P/0671523090.01.LZZZZZZZ.jpg,"After inheriting a large share of her uncle&#39;s business, Olivia
Chantry teams up with her new partner Jasper Sloan to track down a
blackmailer and murderer trying to steal company secrets.",Fiction,25
2984,2984,0671524097,Sharp Edges,Jayne Ann Krentz,1998,Pocket Star,http://images.amazon.com/images/P/0671524097.01.LZZZZZZZ.jpg,"The author&#39;s latest New York Times best-seller unites a glamorous
museum curator and a rough-and-ready private detective as they
discover dirty dealings in the high-money art world, where trust is
the most precious commodity. Reprint.",Fiction,31
2985,2985,0671553038,LIFE SUPPORT,Tess Gerritsen,1997,Atria,http://images.amazon.com/images/P/0671553038.01.LZZZZZZZ.jpg,"The overnight ER rotation at Springer Hospital is a calm one, which
suits Dr. Toby Harper just fine.",Fiction,27
2986,2986,0671732277,DELUSIONS OF GRANDMA,Carrie Fisher,1994,Simon & Schuster,http://images.amazon.com/images/P/0671732277.01.LZZZZZZZ.jpg,"A very pregnant woman embarks on an odyssey to rescue her
Alzheimer&#39;s-striken father from a nursing home",Fiction,34
2987,2987,0671865714,"Here There Be Dragons (Star Trek The Next Generation, No 28)",John Peel,1993,Star Trek,http://images.amazon.com/images/P/0671865714.01.LZZZZZZZ.jpg,"While investigating reports of a human planet hidden in an immense
stellar cloud, the crew of the U.S.S. Enterprise discovers a world of
knights and serfs dominated by a ring of ruthless trophy hunters.
Original.",Fiction,20
2988,2988,0679441018,Memnoch the Devil : The Vampire Chronicles (Vampire Chronicles),ANNE RICE,1995,Knopf,http://images.amazon.com/images/P/0679441018.01.LZZZZZZZ.jpg,"Visited by two beings who claim to be God and the Devil, the vampire
Lestat is offered an ultimate chance at redemption when he is invited
to be a witness at the Creation in a purgatorial land beyond death.
1,000,000 first printing.",Fiction,70
2989,2989,0679720219,The Plague (Vintage International),ALBERT CAMUS,1991,Vintage,http://images.amazon.com/images/P/0679720219.01.LZZZZZZZ.jpg,"A haunting tale of human resilience in the face of unrelieved horror,
Camus&#39; novel about a bubonic plague ravaging the people of a North
African coastal town is a classic of twentieth-century literature.",Fiction,30
2990,2990,0684834723,The LETTER,Richard Paul Evans,1997,Simon & Schuster,http://images.amazon.com/images/P/0684834723.01.LZZZZZZZ.jpg,"In the final episode in The Christmas Box collection, David and
MaryAnne Parkin find a mysterious letter at the base of their child
Andrea&#39;s grave that eventually returns joy to their marriage,
which had been strained in the nineteen years ...",Fiction,24
2991,2991,0743457463,Irish Girls About Town: An Anthology of Short Stories,Maeve Binchy,2003,Pocket,http://images.amazon.com/images/P/0743457463.01.LZZZZZZZ.jpg,"An enchanting, heartwarming anthology of sixteen short stories about
family, friendship, and love features contributions from such popular
Irish women authors as Maeve Binchy, Marian Keyes, Cathy Kelly,
Colette Caddle, Morag Prunty, Julie ...",Fiction,29
2992,2992,0786880708,"Wherever You Go, There You Are : Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,1995,Hyperion,http://images.amazon.com/images/P/0786880708.01.LZZZZZZZ.jpg,"Ten years later, the book continues to change lives. In honor of the
book&#39;s 10th anniversary, Hyperion is proud to be releasing the
book with a new afterword by the author, and to share this wonderful
book with an even larger audience.",Self Help,28
2993,2993,0786889608,Middle of Nowhere,Ridley Pearson,2001,Hyperion,http://images.amazon.com/images/P/0786889608.01.LZZZZZZZ.jpg,"Detective Lou Boldt discovers that a string of robberies and the near-
murder of a female cop may be linked to an unofficial strike of the
Seattle Police Department, and that his own life is now in danger.",Fiction,52
2994,2994,0786889756,Red Light,T. Jefferson Parker,2001,Hyperion,http://images.amazon.com/images/P/0786889756.01.LZZZZZZZ.jpg,"Orange County homicide investigator Merci and her son try to start
life anew after the death of Merci&#39;s partner until Merci&#39;s new
boyfriend, respected police officer Mike McNally, becomes her prime
suspect in a prostitute&#39;s murder.",Fiction,27
2995,2995,0812534271,World Without End,Molly Cochran,1997,Tor Books,http://images.amazon.com/images/P/0812534271.01.LZZZZZZZ.jpg,"In a new version of the myth of Atlantis, the lost continent is home
to the Olympian gods and is located in the Bermuda Triangle, and one
man holds the key to its survival.",Fiction,21
2996,2996,0821742841,Lady of the Forest,Jennifer Roberson,1993,Zebra Books,http://images.amazon.com/images/P/0821742841.01.LZZZZZZZ.jpg,"Against a medieval tapestry of color and pageantry, Roberson weaves a
rich, sweeping tale of a woman who, for the love of one man and the
good of all men, defies destiny and becomes a legend.",Fiction,23
2997,2997,0821766570,The Guest List,Fern Michaels,2000,Zebra Books,http://images.amazon.com/images/P/0821766570.01.LZZZZZZZ.jpg,"Abby Michaels is delighted by her life--her first book is being
published, surgery removes a marring birthmark, she has found a new
man, and she has been reunited with her long-separated sister--but
dark secrets from the past and an unknown ...",Fiction,44
2998,2998,0836217241,The Far Side Gallery 4,Gary Larson,1993,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836217241.01.LZZZZZZZ.jpg,"1993 FarWorks, Inc. All Rights Reserved. The Far Side and the Larson
signature are registered trademarks of FarWorks, Inc.",Humor,28
2999,2999,0836218981,The Indispensable Calvin And Hobbes,Bill Watterson,1992,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218981.01.LZZZZZZZ.jpg,"Features the hyperimaginative six-year-old and his guardian tiger in
their most memorable adventures from &quot;Revenge of the Baby-
Sat&quot; and &quot;Scientific Progress Goes Boink&quot;",Humor,24
3000,3000,0967370167,Ella Minnow Pea: A Progressively Lipogrammatic Epistolary Fable,Mark Dunn,2001,MacAdam/Cage Publishing,http://images.amazon.com/images/P/0967370167.01.LZZZZZZZ.jpg,"The leaders interpret the fallen tile as a message from beyond the
grave and the letter is banned from use. On an island where the
residents pride themselves on their love of language, this is seen as
a tragedy.",Fiction,20
3001,3001,1551668246,Perfect Evil (Maggie O'Dell Novels (Paperback)),Alex Kava,2001,Mira,http://images.amazon.com/images/P/1551668246.01.LZZZZZZZ.jpg,"Still reeling from the effects of her last case, FBI profiler Maggie
O&#39;Dell arrives in Platte City, Nebraska determined to help catch a
potential copycat kidnapper who murders young boys.",Fiction,67
3002,3002,1551669153,Split Second (Maggie O'Dell Novels (Paperback)),Alex Kava,2001,Mira,http://images.amazon.com/images/P/1551669153.01.LZZZZZZZ.jpg,"FBI Special Agent Maggie O&#39;Dell tracked Albert Stucky--the serial
killer called the Collector--for two years before finally ending their
game.",Fiction,54
3003,3003,1575661381,Vegas Heat,Fern Michaels,1997,Kensington Publishing Corporation,http://images.amazon.com/images/P/1575661381.01.LZZZZZZZ.jpg,"Unhappily married to the jealous, domineering Simon, Fanny Thornton
finds herself estranged from her four children by Simon&#39;s
obsessive paranoia about her ex-husband, Ash, but with Babylon, the
family&#39;s casino, threatened by Ash&#39;s illness, ...",Fiction,35
3004,3004,0062515845,The Invitation,Oriah Mountain Dreamer,1999,Harper SanFrancisco,http://images.amazon.com/images/P/0062515845.01.LZZZZZZZ.jpg,"Like the inspirations for Robert Fulghum′s All I Really Need to Know I
learned in Kindergarten, Cherie Carter-Scott′s If Life Is a Game,
These are the Rules, and Margaret Fishback Power′s Footprints, the
poem that sparked The ...",Religion,55
3005,3005,031208188X,Every Living Thing,James Herriot,1992,St. Martin's Press,http://images.amazon.com/images/P/031208188X.01.LZZZZZZZ.jpg,"The author offers readers a new collection of memoirs, describing the
family and friends who share his life on the Yorkshire dales",Biography Autobiography,24
3006,3006,0345368991,The Chronicles of Pern: 1st Fall (The Dragonriders of Pern),Anne McCaffrey,1994,Del Rey Books,http://images.amazon.com/images/P/0345368991.01.LZZZZZZZ.jpg,"The survey: P.E.R.N. -- The dolphins&#39; bell -- The ford of Red
Hanrahan -- The second weyr -- Rescue run.",Fiction,32
3007,3007,044023655X,Kiss of the Highlander,Karen Marie Moning,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023655X.01.LZZZZZZZ.jpg,"Fleeing her humdrum life, Gwen Cassidy heads for Scotland in search of
adventure, but a plunge into a Highland ravine lands her in the arms
of Drustan MacKeltar, a powerful sixteenth-century warrior enchanted
by a powerful spell.",Fiction,22
3008,3008,0449006352,Prince Charming,Gaelen Foley,2000,Ivy Books,http://images.amazon.com/images/P/0449006352.01.LZZZZZZZ.jpg,"A failed attack on a coach leaves the notorious highwayman, the Masked
Rider, at the mercy of Rafael, prince of the kingdom of Ascension,
until Rafe discovers that his captive criminal is the lovely but
defiant Lady Daniela Chiaramonte, an ...",Fiction,46
3009,3009,0449225046,Black Lightning,John Saul,1996,Ballantine Books,http://images.amazon.com/images/P/0449225046.01.LZZZZZZZ.jpg,"The author of the best-selling The Homing delivers a compelling
thriller featuring Seattle journalist Anne Jeffers, whose campaign to
bring a serial killer to the electric chair takes a strange--and
terrifying--turn. Reprint. PW. quot;&amp;l",Fiction,61
3010,3010,0505525178,Improper English,Katie Macalister,2003,Love Spell,http://images.amazon.com/images/P/0505525178.01.LZZZZZZZ.jpg,"While staying in London, up-and-coming novelist Alexandra Freemar
meets her match in Scotland Yard inspector Alexander Block, who
believes her to be a thief, but the tables turn when passion erupts
between the unlikely pair. Original.",Fiction,21
3011,3011,0505525526,Single White Vampire,Lynsay Sands,2003,Love Spell,http://images.amazon.com/images/P/0505525526.01.LZZZZZZZ.jpg,"When the stories of a vampire who is writing the biographies of his
kin are mistaken for romances, the vampire&#39;s publisher forces him
to go to a romance convention---where he finds a romance of his own.",Fiction,37
3012,3012,0515103454,Haunted,James Herbert,1993,Jove Books,http://images.amazon.com/images/P/0515103454.01.LZZZZZZZ.jpg,"An investigator into the supernatural is hired by a once-noble family
to discover whether the family residence is haunted, an assignment
which almost proves his undoing",Fiction,26
